id,Video_Id,Title,Channel_Name,Category,Description,Views,Likes,Dislikes,Comments,Date,Time,Thumb,Video
42,0qvqr5YQxOy1povX,Angrezi Medium - Official Trailer  Irrfan Kareena Radhika  Dinesh Vijan  Homi Adajania  13 March,shubhum, Comedy Drama,A sequel to the 2017 film Hindi Medium.,71,0,0,,07-03-2020,09:19,media/Angrezi_Medium_-_Official_Trailer__Irrfan_Kareena_Radhika__Dinesh_Vijan__Homi_Adaj_Rw5yPt8.jpg,media/Angrezi_Medium_-_Official_Trailer__Irrfan_Kareena_Radhika__Dinesh_Vijan__Homi_Adaj_JxlE5un.mp4
43,lZ2JbsjBXJwPOvrP,Baahubali 2 - The Conclusion  Official Trailer (Hindi)  SS Rajamouli  Prabhas  Rana Daggubati,shubhum, Action Drama,"When Mahendra, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",4,0,0,,07-03-2020,09:19,media/Baahubali_2_-_The_Conclusion__Official_Trailer_Hindi__SS_Rajamouli__Prabhas__Rana__uKRPLa4.jpg,media/Baahubali_2_-_The_Conclusion__Official_Trailer_Hindi__SS_Rajamouli__Prabhas__Rana__R5iJe3H.mp4
44,7pGeum1P9Q251t5F,Baazaar - Official Trailer  Saif Ali Khan Rohan Mehra Radhika A Chitrangda S  Gauravv K Chawla,shubhum, Crime Drama Thriller,Power struggles ensue in a gang after the sudden death of their leader.,3,0,0,,07-03-2020,09:19,media/Baazaar_-_Official_Trailer__Saif_Ali_Khan_Rohan_Mehra_Radhika_A_Chitrangda_S__Gaur_0PDFahl.jpg,media/Baazaar_-_Official_Trailer__Saif_Ali_Khan_Rohan_Mehra_Radhika_A_Chitrangda_S__Gaur_eLtEXiQ.mp4
45,JQN4w6cW5lsjEhEV,Badla - Official Trailer  Amitabh Bachchan  Taapsee Pannu  Sujoy Ghosh  8th March 2019,shubhum,,"A vessel named 'Star of Asia' sinks with 6 Crores Rupees worth of gold and diamonds. Interpol gets involved and they assign an Agent, Himadhri Choudhry, who has a sweetheart in Leena Saigol, to work incognito for her dad, Preetam. Soon he will be asked to travel to Tokyo where an employee of the Indian Embassy, Marikawa, is waiting to first seduce, and then have him killed.",1,0,0,,07-03-2020,09:19,media/Badla_-_Official_Trailer__Amitabh_Bachchan__Taapsee_Pannu__Sujoy_Ghosh__8th_March_2019.jpg,media/Badla_-_Official_Trailer__Amitabh_Bachchan__Taapsee_Pannu__Sujoy_Ghosh__8th_March_2019.mp4
46,fwtdiKwmaJepvw1M,Badrinath Ki Dulhania - Official Trailer  Karan Johar  Varun Dhawan  Alia Bhatt,shubhum, Comedy Drama Romance,Badrinath is looking for a typical bride; Vaidehi is looking for an independent life. Together they must break with tradition and redefine their role,0,0,0,,07-03-2020,09:19,media/Badrinath_Ki_Dulhania_-_Official_Trailer__Karan_Johar__Varun_Dhawan__Alia_Bhatt.jpg,media/Badrinath_Ki_Dulhania_-_Official_Trailer__Karan_Johar__Varun_Dhawan__Alia_Bhatt.mp4
47,gN7ieEnr57CJRZFd,Bala - Official Trailer  Ayushmann Khurrana Bhumi Yami  Dinesh Vijan  Amar Kaushik 8th Nov,shubhum, Action,"Gloria finds a power she never knew she had when she is drawn into a dangerous world of cross-border crime. Surviving will require all of her cunning, inventiveness, and strength.",1,0,0,,07-03-2020,09:19,media/Bala_-_Official_Trailer__Ayushmann_Khurrana_Bhumi_Yami__Dinesh_Vijan__Amar_Kaushik_8th_Nov.jpg,media/Bala_-_Official_Trailer__Ayushmann_Khurrana_Bhumi_Yami__Dinesh_Vijan__Amar_Kaushik_8th_Nov.mp4
48,0vh0pYbBM1ml3tZv,Begum Jaan - Official Trailer Vidya Balan  Srijit Mukherji,shubhum, Action Drama History,"On the eve of Independence, the chairman of the Border Commission, Sir Cyril Radcliffe decides to divide India and Pakistan into equitable halves. What the administration doesn’t account for is the line running through the middle of Begum Jaan’s brothel situated plonk on the border; with one half falling in India and the other in Pakistan.",1,0,0,,07-03-2020,09:19,media/Begum_Jaan_-_Official_Trailer_Vidya_Balan__Srijit_Mukherji.jpg,media/Begum_Jaan_-_Official_Trailer_Vidya_Balan__Srijit_Mukherji.mp4
49,JTywbgVVfYdZHDPz,Behen Hogi Teri - Official Trailer  Rajkummar Rao  Shruti Haasan  Gautam Gulati,shubhum, Comedy Drama Romance,"Owing to the condition that the girls of the neighborhood should be treated like one's own sister, Gattu works to capture Binny's heart and the approval of his community.",1,0,0,,07-03-2020,09:19,media/Behen_Hogi_Teri_-_Official_Trailer__Rajkummar_Rao__Shruti_Haasan__Gautam_Gulati.jpg,media/Behen_Hogi_Teri_-_Official_Trailer__Rajkummar_Rao__Shruti_Haasan__Gautam_Gulati.mp4
50,GLHX7x3laGUiTdDp,Bhangra Paa Le - Official Trailer  Sunny Kaushal Rukshar Dhillon  Sneha Taurani,shubhum, Music,Jaggi comes from a Punjabi background and he aspires to take the popular Punjabi dance form of 'Bhangra' to an international platform and passionately works towards his dream. He meets his college rival in Simi and they both compete with each other to win the international dance competition.,0,0,0,,07-03-2020,09:19,media/Bhangra_Paa_Le_-_Official_Trailer__Sunny_Kaushal_Rukshar_Dhillon__Sneha_Taurani.jpg,media/Bhangra_Paa_Le_-_Official_Trailer__Sunny_Kaushal_Rukshar_Dhillon__Sneha_Taurani.mp4
51,YShhSb0UqSOjwqwz,Bhoot The Haunted Ship -  OFFICIAL TRAILER  Vicky Kaushal & Bhumi Pednekar  Bhanu Pratap Singh,shubhum, Horror Thriller,"When an abandoned haunted ship called 'Sea Bird' washes up on the shores of Mumbai, surveying officer Prithvi is assigned to solve the mystery and close the case",0,0,0,,07-03-2020,09:19,media/Bhoot_The_Haunted_Ship_-__OFFICIAL_TRAILER__Vicky_Kaushal__Bhumi_Pednekar__Bhanu_P_1bzHr7R.jpg,media/Bhoot_The_Haunted_Ship_-__OFFICIAL_TRAILER__Vicky_Kaushal__Bhumi_Pednekar__Bhanu_P_ZnZultZ.mp4
